image_id,question,category,concise_prompt,n_descriptions_used
315,"A regular pentagon is cut out of a page of lined paper. Step by step this pentagon is then rotated $21^{\circ}$ counter clockwise about its midpoint. The result after step one is shown in the diagram. Which of the diagrams shows the situation when the pentagon fills the hole entirely again for the first time?
<image1>
<image2>",transformation geometry,"Draw a diagram with two sections, separated by a thick blue horizontal line. The top section, labeled ""<image1>:"" in blue, contains a rectangular frame with 12 evenly spaced horizontal lines, and a regular pentagon with diagonal lines inside, rotated counter-clockwise. The bottom section, labeled ""<image2>:"" in blue, contains five identical rectangular frames with horizontal lines, each with a regular pentagon, labeled (A) through (E), with varying rotations and diagonal lines inside.",4
316,"Three of the cards shown will be dealt to Nadia, the rest to Riny. Nadia multiplies the three values of her cards and Riny multiplies the two values of his cards. It turns out that the sum of those two products is a prime number. Determine the sum of the values of Nadia's cards.
<image1>",algebra,"Draw a horizontal arrangement of 5 playing cards with rounded corners, each with a thin black outline and white interior. Label the top-left corner of each card with numbers 3, 4, 5, 6, and 7, respectively, and include a small suit symbol below each number. The cards should overlap slightly, with each card to the right covering part of the card to its left. The suits are: 3 of spades, 4 of spades, 5 of hearts, 6 of clubs, and 7 of diamonds. The cards should have large suit symbols in the center, arranged in standard playing-card layouts.",4
317,"Two rectangles form the angles $40^{\circ}$ and $30^{\circ}$ respectively, with a straight line (see diagram). How big is angle $\alpha$?
<image1>",metric geometry - angle,"Draw a diagram with a thick vertical line on the left and two overlapping rectangles to the right, labeled with angles 40° and 30° where they meet the line, and a third angle α at their intersection.",4
318,"The faces of the prism shown, are made up of two triangles and three squares. The six vertices are labelled using the numbers 1 to 6. The sum of the four numbers around each square is always the same. The numbers 1 and 5 are given in the diagram. Which number is written at vertex $X$?
<image1>",algebra,"Draw a 3D triangular prism with 6 vertices, 2 triangular faces, and 3 rectangular faces. Label the top-left vertex as ""1"", the top-right vertex as ""X"", and the bottom-right vertex as ""5"". Connect the vertices with solid lines, except for the bottom edge between the bottom-left and bottom-right vertices, which should be a dashed line. Position the prism so the top face is slightly tilted, with the top-left vertex at the top and the bottom-right vertex at the bottom.",4
319,"On an idealised rectangular billiard table with side lengths $3 \mathrm{~m}$ and $2 \mathrm{m}$ a ball (point-shaped) is pushed away from point $M$ on the long side $A B$. It is reflected exactly once on each of the other sides as shown. at which distance from the vertex $A$ will the ball hit this side again if $B M=1.2 \mathrm{~m}$ and $B N=$ $0.8 m$?
<image1>",metric geometry - length,"Draw a rectangle with vertices labeled A, B, C, and D, where A is at the bottom-left corner, B is at the bottom-right corner, C is at the top-right corner, and D is at the top-left corner. Inside the rectangle, draw a dashed path starting from point M on side AB, closer to B, to point N on side BC, then to the top side, then to the left side, and back to the bottom side, with an arrow on the lower-left segment indicating direction. Label point M on the bottom side and point N on the right side. The rectangle should be wider than it is tall, with point M closer to B and point N closer to B.",4
320,"$A B C D E F$ is a regular hexagon, as shown in the diagram. $G$ is the midpoint of $A B. H$ and I are the intercepts of the line segments GD and GE respectively, with the line segment FC. How big is the ratio of the areas of the triangle GIF and the trapezium IHDE?
<image1>",metric geometry - area,"Draw a regular hexagon with vertices labeled A, B, C, D, E, F, and a point G on the top edge between A and B. Include internal line segments connecting G to D, G to E, and F to C, intersecting at points H and I. Shade the triangle GIF and the trapezium IHDE in gray. Label points H and I on the line segment FC, with I to the left of H. Ensure all lines are solid and black, with no arrows or special marks, on a white background.",4
321,"Archimedes has calculated 15!. The result is on the board. Unfortunately two of the digits, the second and the tenth, cannot be read. What are the two missing digits? (Remark: $15 !=15 \cdot 14 \cdot 13 \cdot \ldots \cdot 2 \cdot 1$ )
<image1>",arithmetic,"Draw a horizontal line of large, black, serif-font digits on a white background, reading ""1"", followed by a solid black square, then ""0767436"", then another solid black square, and ending with ""000"". The black squares are approximately the same height and width as the surrounding digits.",4
322,"The flag of Kangoraland is a rectangle which is split into three equal rectangles as shown. How big is the ratio of the side lengths of the white rectangle?
<image1>",metric geometry - length,"Draw a horizontal rectangle divided into three smaller rectangles by two internal solid black lines: a vertical line one-third from the left and a horizontal line splitting the right portion into two equal parts. The left rectangle is dark gray, the top-right rectangle is medium gray, and the bottom-right rectangle is white.",4
323,"The numbers $1,2,3$ and 4 are inserted into different cells of the $2 \times 2$ table shown. Then the sums of the numbers in each row and column are determined. Two of these sums are 4 and 5. How big are the two remaining sums?
<image1>",algebra,"Draw a 2x2 table as a large square divided into four equal smaller squares by one vertical and one horizontal solid black line, centered on a white background with no labels, text, or other markings. The lines are solid and black, forming a simple grid structure with no shading or fills. The table has a small margin around it.",4
324,"A rectangle is coloured in five different ways as shown. In which picture is the grey area biggest?
<image1>",metric geometry - area,"Draw 5 identical rectangles in a horizontal row, each labeled (A) to (E) from left to right, with various grey-filled triangular regions and white spaces within them. Rectangle (A) has a diagonal line dividing it into two triangles, with the lower-right triangle filled grey. Rectangle (B) contains two long, thin grey triangular wedges. Rectangle (C) is filled with a repeating pattern of alternating grey and white triangles. Rectangle (D) has a few large grey triangles, and Rectangle (E) has multiple grey triangles and a vertical grey bar. Use a medium grey tone for shading and thin black lines for outlines.",4
325,"Three triangles are connected to each other as shown. In which of the following pictures are the three triangles connected in the same way?
<image1>
<image2>",topology,"Draw a two-panel diagram with a horizontal blue line separating the top and bottom panels. The top panel is labeled ""<image1>:"" and contains three interlinked hollow triangles in gray, white, and black. The bottom panel is labeled ""<image2>:"" and features five sets of three interlinked triangles, each set labeled (A) through (E), with varying configurations of gray, white, and black triangles.",4
326,"Three four-digit numbers are written onto three separate pieces of paper as shown. The sum of the three numbers is 11126. Three of the digits in the picture are hidden. Which are the three hidden digits?
<image1>",algebra,"Draw a diagram with three overlapping rectangular paper strips on a white background. The top strip contains the digits ""7 2 4 3"" and a smaller angled extension with ""1"". The middle diagonal strip contains ""2 1 2"" with the ""1"" rotated to match the strip's orientation. The bottom-right strip contains ""2 6"". The strips are beige with black outlines and digits, and they overlap to form a layered effect.",4
327,"Each side of a die is marked with either 1,2 or 3 dots so that the probability of rolling a 1 is equal to $\frac{1}{2}$, the probability of rolling a 2 is equal to $\frac{1}{3}$ and the probability of rolling a 3 is equal to $\frac{1}{6}$. Which of these pictures cannot be a picture of this particular die?
<image1>",solid geometry,"Draw a diagram with 5 three-dimensional dice in a horizontal row, each with 3 visible faces and labeled (A) through (E) below. Each face has solid black dots representing numbers, with varying arrangements: (A) has 2 on top, 3 on the left, and 1 on the right; (B) has 1 on each face; (C) has 3 on top, 1 on the left, and 3 on the right; (D) has 3 on top, 2 on the left, and 2 on the right; (E) has 1 on top, 2 on the left, and 2 on the right. Use solid black lines and black dots on a white background.",4
328,"A cuboid-shaped container that is not filled completely contains $120 \mathrm{~m}^{3}$ of water. The depth of the water is either $2 \mathrm{~m}$ or $3 \mathrm{~m}$ or $5 \mathrm{~m}$, depending on which side the container is actually standing on (drawings not to scale). How big is the volume of the container?
<image1>",solid geometry,"Draw three 3D cuboids in a row, each with a shaded ""water"" region, labeled ""2 m"", ""3 m"", and ""5 m"" respectively, with vertical double-headed arrows indicating water depth.",4
329,"The system shown consists of three pulleys that are connected to each other via two ropes. $P$, the end of one rope, is pulled down by $24 \mathrm{~cm}$. By how many centimeters does point $Q$ move upwards?
<image1>",metric geometry - length,"Draw a 2D pulley system diagram with a thick black horizontal beam at the top, three gray pulleys with white centers, and two ropes labeled ""Seil 1"" and ""Seil 2"" connecting the pulleys. Include points ""P"" and ""Q"" with ""P"" having a downward-pointing arrow, and arrange the pulleys vertically with ""P"" on the left and ""Q"" on the right, against a white background.",4
330,"The diagram shows two adjoining squares with side lengths $a$ and $b$ (with $a<b$). How big is the area of the grey triangle?
<image1>",metric geometry - area,"Draw two adjacent squares, with the left square smaller than the right square, sharing a common vertical edge. Include a light grey shaded triangle with vertices at the bottom-left corner of the left square, the top-right corner of the right square, and the top-right corner of the left square. Use solid black lines for all borders.",4
331,"The points of intersection of the network of bars shown are labelled with the numbers 1 to 10. The sums $S$ of the four numbers on the vertices of each square are
all the same. What is the minimum value of $S$?
<image1>",algebra,"Draw a horizontal chain of 3 identical diamond-shaped squares, each with 4 vertices, making a total of 10 vertices. Connect the diamonds by sharing vertices, with each diamond having 4 edges and each vertex being a solid black circular point. Place the diamonds in a row, with the right vertex of the left diamond shared with the left vertex of the middle diamond, and the right vertex of the middle diamond shared with the left vertex of the right diamond, on a white background.",4
332,"A path $D E F B$ with $D E \perp E F$ and $E F \perp F B$ lies within the square $A B C D$ as shown. We know that $D E=5, E F=1$ and $F B=2$. What is the side length of the square?
<image1>",metric geometry - length,"Draw a square with vertices labeled A, B, C, and D. Inside the square, draw a path from D to B with two right angles at points E and F, where DE is longer than EF and FB. Label points E and F on the path and include small right-angle markers at these points.",4
333,"Three circles with radius 2 are drawn in such a way that each time one of the points of intersection of two circles is identical with the centre of the third circle. How big is the area of the grey zone?
<image1>",metric geometry - area,"Draw a diagram with three identical circles arranged in a triangular pattern, each overlapping the others, with one circle above and two below. The circles have thin black outlines and intersect to form a central white region bounded by three circular arcs, and three surrounding gray ""petal"" shapes. Three small solid black dots mark the intersection points of the circles. The background is white, and there are no labels, numbers, or additional markings.",4
334,"Numbers are to be placed into the square grid shown, so that each of the numbers $1,2,3,4$ and 5 appears exactly once in each row and in each column. Furthermore sthe sum of all numbers in the three black-bordered sections should always be the same. Which number has to be written into the top right cell?
<image1>",logic,"Draw a 5x5 square grid with thin light-gray lines, enclosed by a thick black border. Divide the grid into three sections using thick black lines that make right-angled turns along the grid lines. Place a ""?"" in the top-right cell and a ""2"" in the bottom-left cell. Ensure the grid is centered and the sections are irregularly shaped, with no other text, numbers, or markings.",4
335,"An ant walked $6 \mathrm{~m}$ every day to go from point $A$ to point $B$ in a straight line. One day Johnny put a straight cylinder of one meter high in that way. Now the ant walks on the same straight line or above it, having to go up and down the cylinder, as shown in the picture. How much does she have to walk now to go from $A$ to $B$?
<image1>",solid geometry,"Draw a 3D right circular cylinder with a light gray shaded top and bottom elliptical faces, and two vertical side edges. The cylinder has a red straight line passing through it, with endpoints labeled ""A"" and ""B"". Include a small ant graphic on the top face, a blue dashed vertical line inside the cylinder, and a solid blue diagonal line near the base. Position point A to the left and point B to the right of the cylinder, with the red line connecting them and passing through the cylinder.",4
336,"The pie chart beside refers to the number of inhabitants of the five zones of a city. The central zone has the same population as the north, west and east zones together and the south zone has half of the inhabitants of the west zone. What is the percentage difference between the inhabitants of the north and east zones?
<image1>",statistics,"Draw a 2D pie chart with 5 sectors, labeled 47%, 24%, 12%, 11%, and 6%, each filled with a distinct solid color: light pink, teal, light gray, light lavender, and light yellow-green, respectively. Position the sectors clockwise, with 47% on the left, 11% at the top, 6% at the upper-right, 24% on the right, and 12% at the bottom.",4
337,"In the addition on the right, different letters represent different numbers. Assuming the account is correct, what is the highest possible value for the sum $\mathrm{C}+\mathrm{A}+\mathrm{N}$?
<image1>",algebra,"Draw a square diagram with a thin border, containing a vertical addition problem. The top row has the letters ""C A N"", the second row has a plus sign to the left of ""G U R"", and the bottom row has the result ""U U U"". A thick horizontal line separates the second row from the bottom row. Use a light green background and black text.",4
338,"A gray square with an area of $36 \mathrm{~cm}^{2}$ and a black square with an area of $25 \mathrm{~cm}^{2}$ are superimposed, as shown beside. What is the perimeter of the overlapping region, represented by the white quadrilateral, which has a vertex on the side of the gray square?
<image1>",metric geometry - length,"Draw a 2D diagram with two overlapping squares, a larger light gray square and a smaller dark gray/black square, rotated slightly. The overlapping region forms a white quadrilateral. Include a horizontal curly brace labeled ""2 cm"" below the gray square and a vertical curly brace labeled ""1 cm"" to the right of the gray square.",4
339,"Zilda will use six equal cubes and two different rectangular blocks to form the structure beside with eight faces. Before gluing the pieces, she will paint each one entirely and calculated that she will need 18 liters of paint (the color does not matter). How many liters of paint would she use if she painted the whole structure only after gluing the parts?
<image1>",solid geometry,"Draw a 3D block structure with a large green rectangular prism base, a thin purple horizontal layer on top, and three pink cube-like blocks in a row above the purple layer. On the far left, include a vertical column of three pink cube-like blocks stacked upward, attached to the main structure. Use solid lines and distinct colors: green for the base, purple for the middle layer, and pink for the top blocks and column.",4
340,"The last two digits of a 2020 number are 9 and 9. At most, how many digits does the square of that number have?
<image1>",algebra,"Draw a stylized banner with a wavy rectangular outline and a rolled-up curl at the top-left corner. The banner has a large solid black filled region on the left and the text ""99"" in gray on the center-right. The banner is centered on a white background.",4
341,"Matias wrote 15 numbers on the wheel represented beside. Only one of them is visible, the 10 on top of the wheel. The sum of the numbers in any seven consecutive positions, such as the gray positions in the figure, does not vary. When seven numbers in consecutive positions are summed up, which of the following results is possible?
<image1>",logic,"Draw a circular wheel with 15 equally sized small circles arranged around its perimeter, connected by thin black spokes to a central small solid black dot. Label the topmost small circle with ""10"". Shade 7 consecutive small circles, starting from approximately the 3 o'clock position, with a medium gray color. Ensure all lines and outlines are solid black and the background is white.",4
342,"A large square touches another two squares, as shown in the picture. The numbers inside the smaller squares indicate their areas. What is the area of the largest square?
<image1>",metric geometry - area,"Draw a diagram with 3 squares on a horizontal baseline. The left square is larger, containing ""9"", and the right square is smaller, containing ""4"". A larger, pink, rotated square overlaps them, touching the baseline and the corners of the smaller squares.",4
343,"A circle is tangent to one side of a rectangle and passes through two of its vertices, as shown beside. A square of $20 \mathrm{~cm}^{2}$ area has one side over the side of the rectangle and two vertices over the circle, as shown in the figure. What is the area of the rectangle?
<image1>",metric geometry - area,"Draw a diagram with a large horizontal light blue rectangle, a smaller light green square centered on its top edge, and a black circle overlapping both, passing through the rectangle's top corners and the square's top corners. The square's bottom edge aligns with the top edge of the rectangle. The background is white.",4
344,"Two rectangular blocks and a cube are joined to form a larger rectangular block, which volume is $280 \mathrm{~cm}^{3}$. The cube, in dark gray in the picture, has volume equal to $125 \mathrm{~cm}^{3}$ and the smaller rectangular block has volume equal to $75 \mathrm{~cm}^{3}$. What is the area of the face marked with the question mark?
<image1>",solid geometry,"Draw a 3D rectangular block composed of three joined rectangular pieces: a light gray block on the left, a white/very light gray block in the middle-back, and a dark gray cube on the right. The block has a question mark ""?"" on the top face of the leftmost piece. Show the top, front, and left faces of the block, with solid black lines and no hidden edges. The cube is dark gray, the middle-back piece is white or very light gray, and the left piece is light gray.",4
345,"The figure shows the lines $r$ and $s$, which equations are, respectively, $y=a x
+b$ e $y=c x+d$. Which of the following statements is true?
<image1>",analytic geometry,"Draw a 2D Cartesian coordinate system with a vertical y-axis labeled ""y"" and a horizontal x-axis labeled ""x"", intersecting at the origin labeled ""0"". Include a horizontal line labeled ""r"" above the x-axis, intersecting the y-axis with a small right-angle marker, and a diagonal line labeled ""s"" with a positive slope, passing through the origin and extending into the upper-right quadrant.",4
346,"A little kangaroo draws a line passing through point $P$ of the grid and then paints three triangles in black as shown in the picture. The areas of these triangles are proportional to which numbers?
<image1>",analytic geometry,"Draw a 2D grid with dashed lines, a solid black diagonal line from bottom-left to top-right, and three solid black right triangles along the line, increasing in size. Label a point ""P"" near the bottom-left of the grid, close to the diagonal line.",4
347,"A rectangular garden was $50 \mathrm{~m}$ long and $40 \mathrm{~m}$ wide. An artificial lake was built next to it, so that the whole set forms a $60 \mathrm{~m}$ square. Then a fence was stretched, separating both the garden and the lake in two parts with equal areas, as shown in the picture. How long is this fence?
<image1>",metric geometry - length,"Draw a square with a thick black border, divided into a light green rectangle in the upper-left corner and a light blue L-shaped region surrounding it. A thick red diagonal line crosses the square, passing through both colored regions, from near the top-left corner to near the bottom-right corner.",4
348,"Vilma took a sheet of paper measuring $10 \mathrm{~cm} \times 20 \mathrm{~cm}$ and made two folds, taking the two smaller sides of the sheet to a diagonal of it. She gets a parallelogram, as shown in the picture. What is the area of this quadrilateral, in $\mathrm{cm}^{2}$?
<image1>",transformation geometry,"Draw a diagram with two main elements side by side. On the left, draw a horizontal rectangle with a dashed diagonal line from the top-left to the bottom-right corner, and two curved solid lines with arrowheads indicating motion towards the diagonal. On the right, draw a parallelogram with solid lines, slanted to the right. Both figures should have black outlines on a white background, with no labels or measurements.",4
349,"There are $n$ different prime numbers $p_{1}, p_{2}, \ldots, p_{n}$ written from left to right on the last line below the table shown beside. The product of two neighboring numbers in the same line is written in the upper two boxes. The number $K=p_{1}^{\alpha_{1}} \cdot p_{2}^{\alpha_{2}} \ldots p_{n}^{\alpha_{n}}$ is written in the last house above. In a table like this, in which $\propto_{2}=9$, how many numbers are divisible by number $p_{4}$?
<image1>",algebra,"Draw a 2D diagram with rectangular boxes arranged in a stepped pyramid structure. Include a single box at the top labeled ""K"", with two boxes below it. The bottom-left section has three boxes labeled ""p₁"", ""p₂"", ""p₃"" with two boxes above them labeled ""p₁p₂"" and ""p₂p₃"". The bottom-right section has two boxes labeled ""pₙ₋₁"" and ""pₙ"" with one box above them labeled ""pₙ₋₁pₙ"". Add a vertical ellipsis between the top and bottom sections and a horizontal ellipsis between the bottom-left and bottom-right sections. Use solid black lines and text on a white background.",4
350,"Adam and Bruna try to find out which is Carla's favorite figure, amongst the figures beside. Adam knows that Carla told Bruna what the shape of the figure was. Bruna knows that Carla told Adam what color the figure was. The following conversation takes place. Adam: ""I don't know what Carla's favorite figure is and I know that Bruna doesn't know either"". Bruna: ""At first I didn't know what Carla's favorite figure was, but now I know"". Adam: ""Now I know too"". What is Carla's favorite figure?
<image1>
<image2>",logic,"Draw a diagram with two panels separated by a thick horizontal blue line. The top panel, labeled ""<image1>:"" in blue, contains a cluster of 8 shapes: a teal square, a gray-outlined hexagon, a teal circle, a gray-outlined 7-point star, a gray-outlined triangle, a teal 7-point star, a pink triangle, and a pink circle. The bottom panel, labeled ""<image2>:"" in blue, contains a row of 5 labeled shapes: (A) a pink circle, (B) a teal square, (C) a teal 7-point star, (D) a gray-outlined square, and (E) a pink triangle.",4
351,"Paula's weather app shows a diagram of the predicted weather and maximum temperatures for the next seven days, as shown. Which of the following represents the corresponding graph of maximum temperatures?
<image1>
<image2>",statistics,"Draw a two-part diagram with a horizontal weather forecast strip at the top, divided into 7 equal vertical panels, each containing a weather icon, temperature value, and day label, in the order: partly cloudy with -1°C on Fri, cloudy with -4°C on Sat, snowy with 0°C on Sun, sunny with 0°C on Mon, rainy with 3°C on Tue, partly cloudy with -3°C on Wed, and partly cloudy with -5°C on Thu. Below a thick blue horizontal line, draw 5 line graphs labeled (A) through (E) in two rows, with each graph showing 7 connected points representing temperature data over 7 days, and include vertical grid lines but no axis labels or numeric scales.",4
352,"A large square is divided into smaller squares, as shown. A shaded circle is inscribed inside each of the smaller squares. What proportion of the area of the large square is shaded?
<image1>",metric geometry - area,"Draw a large square subdivided into 7 smaller squares of varying sizes by thin black internal lines, with a vertical line dividing the square into left and right columns. Include a circle inscribed in each smaller square, filled with light gray and outlined in thin black. The left column contains 4 squares, and the right column contains 3 squares, with the top-right and bottom-right squares being larger than the others.",4
353,"After the storm last night, the flagpole on our school building is leaning over. Looking from northwest, its tip is to the right of its bottom point. Looking from the east, its tip is also to the right of its bottom point. In which direction could the flagpole be leaning over?
<image1>",descriptive geometry,"Draw a diagram with 5 identical circles in a horizontal row, each representing a compass with thin black lines forming a cross and labeled with N, S, E, and W. Include a thick black wedge-shaped line in each circle pointing in different directions: (A) between W and N, (B) between N and E closer to E, (C) between N and E closer to N, (D) between S and W, and (E) between S and E. Label each circle with (A) through (E) below it.",4
354,"The parabola in the figure has an equation of the form $y=a x^{2}+b x+c$ for some distinct real numbers $a, b$ and $c$. Which of the following equations could be an equation of the line in the figure?
<image1>",analytic geometry,"Draw a 2D Cartesian coordinate system with a horizontal x-axis and a vertical y-axis, labeled ""x"" and ""y"" respectively, intersecting at the origin labeled ""0"". Plot an upward-opening parabola with its vertex below the x-axis, intersecting the x-axis at two points, one on the left and one on the right of the y-axis. Also, plot a straight line with a positive slope, passing through the origin, and intersecting the parabola at two points. Use solid black lines for all elements on a white background.",4
355,"A large triangle is divided into smaller triangles as shown. The number inside each small triangle indicates its perimeter. What is the perimeter of the large
triangle?
<image1>",metric geometry - length,"Draw a large scalene triangle with a horizontal base, subdivided into 6 smaller triangles by solid black lines. Label each smaller triangle with the following numbers, positioned near their centers: 10 (top-left), 15 (central-left), 11 (bottom-left), 12 (bottom-center-left), 9 (upper middle-right), 13 (middle-right), and 20 (large rightmost triangle). Ensure the large triangle's left side slopes upward and its right side slopes downward, with the top vertex offset left of the midpoint of the base.",4
356,"In the $5 \times 5$ square shown the sum of the numbers in each row and in each column is the same. There is a number in every cell, but some of the numbers are not shown. What is the number in the cell marked with a question mark?
<image1>",logic,"Draw a 5x5 square grid with 25 equal cells, containing the numbers 16, 22, 20, 21, 2, 25, 1, 24, 5, 6, and 4 in specific cells, and a question mark in the fifth row, fourth column. Place the numbers as follows: Row 1 - second cell ""16"", fourth cell ""22""; Row 2 - first cell ""20"", third cell ""21"", fifth cell ""2""; Row 3 - second cell ""25"", fourth cell ""1""; Row 4 - first cell ""24"", third cell ""5"", fifth cell ""6""; Row 5 - second cell ""4"", fourth cell ""?"". Use solid black lines for the grid and black text on a white background.",4
357,"A piece of string is lying on the table. It is partially covered by three coins as seen in the figure. Under each coin the string is equally likely to pass over itself like this: <image1>
or like this: <image2>. What is the probability that the string is knotted after its ends are pulled?
<image3>",topology,"Draw a vertical stack of three diagrams. The top two diagrams show a single crossing of two double-lined strands, forming an ""X"" shape, with the over/under relationship reversed between them. The bottom diagram shows a larger, tangled string arrangement with three light gray coins, each labeled ""1"", covering crossings, and two loose ends extending downward. Label each diagram with ""<image1>:"", ""<image2>:"", and ""<image3>:"" in blue text at the left.",4
358,"A naughty pup grabs the end of a roll of toilet paper and walks away at a constant speed. Which of the functions below best describes the thickness $y$ of the roll as a function of the unrolled part $x$?
<image1>
<image2>",analytic geometry,"Draw a two-part diagram with a blue horizontal line separating the sections. The top section shows a toilet paper roll with a circular core and a long sheet rolled around it, extending to the left, labeled ""x"" below and ""y"" near the roll. The bottom section contains five graphs labeled (A) through (E), each with x and y axes and a different curve: (A) a straight line with positive slope, (B) a straight line with negative slope, (C) a wavy curve, (D) a decreasing curve leveling off, and (E) a smooth decreasing curve.",4
359,"The diagram shows three squares, $P Q R S, T U V R$ and $U W X Y$. They are placed together, edge to edge. Points $P, T$ and $X$ lie on the same straight line. The area of $P Q R S$ is 36 and the area of TUVR is 16. What is the area of triangle PXV?
<image1>",metric geometry - area,"Draw a diagram with three connected squares, labeled $PQRS$, $TUVR$, and $UWXY$, where $PQRS$ is the largest, $TUVR$ is the middle-sized, and $UWXY$ is the smallest. The squares share edges, with $R$ shared by $PQRS$ and $TUVR$, and $U$ shared by $TUVR$ and $UWXY$. Label the vertices as described, with $P$, $T$, and $X$ aligned on a straight line. Use solid, thin black lines and a white background, with no shading, grid, or special marks.",4
360,"The figure shows the graph of a function $f:[-5,5] \rightarrow R$. How many distinct solutions does the equation $f(f(x))=0$ have?
<image1>",analytic geometry,"Draw a 2D coordinate plane with a horizontal x-axis and vertical y-axis, labeled with integers from -5 to 5 on the x-axis and -3 to 5 on the y-axis, excluding 0. Include a light gray square grid with 1-unit spacing. Plot a single, smooth, thick black curve representing a function, with notable features including local minima and maxima, and intersections with the x-axis near x = -4, -2, 2, and 4. Label the origin with ""O"" near the center.",4
361,"Five kangaroos named A, B, C, D and E have one child each, named a, b, c, d and e, not necessarily in that order. In the first group photo shown exactly 2 of the children are standing next to their mothers. In the second group photo exactly 3 of the children are standing next to their mothers. Whose child is a?
<image1>",logic,"Draw two stacked rectangular frames with thin black borders, each containing five kangaroo pairs. In each frame, arrange three pairs in the top row and two pairs in the bottom row. Label the adult kangaroos with uppercase letters A, B, C, D, and E, and the child kangaroos with lowercase letters a, b, c, d, and e. In the top frame, pair A with d, B with a, C with b, D with c, and E with e. In the bottom frame, pair A with b, B with e, C with d, D with a, and E with c. Use grayscale for the kangaroos and black for the labels and borders.",4
362,"The solid shown in the diagram has 12 regular pentagonal faces, the other faces being either equilateral triangles or squares. Each pentagonal face is surrounded by 5 square faces and each triangular face is surrounded by 3 square faces. John writes 1 on each triangular face, 5 on each pentagonal face and -1 on each square. What is the total of the numbers written on the solid?
<image1>",solid geometry,"Draw a diagram with a large, shaded 3D polyhedral solid on the left, featuring pentagonal, triangular, and square faces. On the right, include a legend with three rows: ""5"" pointing to a pentagon with ""5"" inside, ""1"" pointing to a triangle with ""1"" inside, and ""-1"" pointing to a square with ""-1"" inside. Use solid black lines and grayscale shading to distinguish face types.",4
366,"Martin's smartphone displays the diagram on the right. It shows how long he has worked with four different apps in the previous week. The apps are sorted from top to bottom according to the amount of time they have been used. This week he has spent only half the amount of time using two of the apps and the same amount of time as last week using the other two apps. Which of the following pictures cannot be the diagram for the current week?
<image1>
<image2>",statistics,"Draw a diagram with two sections: a top section labeled ""<image1>:"" containing a single bar chart with 4 horizontal black bars of varying lengths, and a bottom section labeled ""<image2>:"" with 5 identical bar charts labeled (A) through (E), each with 4 horizontal black bars of varying lengths, all on a white background with thin grey borders and dotted grey grid lines.",4
367,"Four circles with radius 1 intersect each other as seen in the diagram. What is the perimeter of the grey area?
<image1>",metric geometry - length,"Draw four identical circles with solid black outlines, arranged in a clustered formation with one circle on the left, one on the upper right, one on the lower right, and one near the center. The circles intersect, forming a central shaded region with a smooth boundary made of circular arcs, filled with medium/dark gray color.",4
368,"The points $A, B, C$ and $D$ are marked on a straight line in this order as shown in the diagram. We know that $A$ is $12 \mathrm{~cm}$ from $C$ and that $B$ is $18 \mathrm{~cm}$ from $D$. How far apart from each other are the midpoints of the line segments $A B$ and $C D$?
<image1>",metric geometry - length,"Draw a horizontal line with four solid black circular points on it, labeled ""A"", ""B"", ""C"", and ""D"" from left to right, with increasing gaps between them. The line extends slightly beyond the leftmost and rightmost points. Place each label above its corresponding point. The diagram is schematic and two-dimensional, with a white background and no additional markings or measurements.",4
369,"Four straight lines that intersect in one single point form eight equal angles (see diagram). Which one of the black arcs has the same length as the circumference of the little (grey) circle?
<image1>",metric geometry - length,"Draw a square grid with a central point where four thick, solid, dark grey lines (one vertical, one horizontal, and two diagonals) intersect, creating eight equal angular sectors. At this center, include a small, thick, solid, dark grey circle and two concentric, thin, dotted, light grey circles. Add five thick, solid, black circular arcs labeled A, B, C, D, E, each spanning a 45-degree angle, with A near the upper-left, B in the upper-right, C in the lower, D on the left, and E in the lower-right. Place the labels A, B, C, D, E near their respective arcs.",4
370,"We check the water meter and see that all digits on the display are different. What is the minimum amount of water that has to be used before this happens again?
<image1>",arithmetic,"Draw a horizontal rectangle with 5 evenly spaced, upright rectangles inside, containing the digits 9, 1, 8, 7, 6 from left to right. Add a small solid dot between the 2nd and 3rd rectangles, and the text ""m³"" to the right of the 5th rectangle, with the ""3"" as a superscript.",4
371,"The square pictured, is split into two squares and two rectangles. The vertices of the shaded quadrilateral with area 3 are the midpoints of the sides of the smaller squares. What is the area of the non-shaded part of the big square?
<image1>",metric geometry - area,"Draw a large square with a solid black outline, divided into 4 regions by one vertical and one horizontal solid black line that intersect slightly left of and above the square's center. The regions are two squares (top-left and bottom-right) and two rectangles (top-right and bottom-left). Inside the top-left square, draw a shaded gray quadrilateral with a solid black outline, its vertices on the sides of the two smaller squares, resembling a kite or diamond shape.",4
372,"The diagram shows a map with 16 towns which are connected via roads. The government is planning to build power plants in some towns. Each power plant can generate enough electricity for the town in which it stands as well as for its immediate neighbouring towns (i.e. towns that can be reached via a direct connecting road). What is the minimum number of power plants that have to be built?
<image1>",graph theory,"Draw a 4x4 grid of 16 medium gray circles, with each circle representing a node, and connect them with 24 thin solid black lines to form an undirected graph. The top row should have three horizontal edges, the second and third rows should have three horizontal edges, and the bottom row should have two separate horizontal edges with a gap in the middle. Each column should have three vertical edges. Arrange the nodes in a slightly curved, wavy pattern, with no labels, numbers, or other markings. The background should be white.",4
